frame,abs_dx_px,scale_change
170,20.6872,4.9e-05
171,21.0946,0.001085
172,21.3947,6.7e-05
173,21.4344,0.000204
174,21.5633,4.1e-05
175,20.9188,0.001388
176,20.7707,2.8e-05
177,20.0855,0.000183
178,19.4524,0.000238
179,18.7261,2.5e-05
180,18.0067,2.5e-05
181,17.231,4.2e-05
182,16.5714,0.000158
183,16.1269,0.000145
184,15.6374,3.8e-05
185,15.0635,0.000106
186,14.5764,0.000221
187,13.8176,8.4e-05
188,13.2183,7.1e-05
189,12.4741,8.9e-05
190,11.7508,0.000442
191,10.7858,0.000187
192,10.628,7.4e-05
193,9.9089,0.000185
194,9.3511,0.000238
195,8.7702,0.000129
196,8.5737,0.000249
197,8.1432,0.000112
198,8.0649,0.000257
199,7.8153,0.000138
200,7.8565,0.000197
201,7.2463,0.000232
202,7.1216,0.000158
203,6.3708,0.000222
204,5.6303,3e-05
205,3.3484,0.004989
206,4.5811,0.000229
207,4.0409,9.5e-05
208,2.2663,0.004129
209,2.8849,0.000119
210,2.3815,0.000349
211,1.8946,4e-06
212,1.5479,2.6e-05
213,0.9056,0.002344
214,1.7609,7.1e-05
215,1.8317,5e-06
216,1.6674,0.001402
217,2.1377,0.002449
218,2.0066,0.001483
219,1.958,0.002163
220,1.9174,0.002194
221,2.0639,0.001295
222,2.1948,0.001497
223,2.0833,0.001892
224,2.279,0.001481
225,2.1869,0.001304
226,2.0535,0.001245
227,1.9862,0.000949
228,2.0252,0.000922
229,2.9235,0.002644
230,3.1547,0.005555
231,3.4902,0.008775
232,3.9444,0.010942
233,4.2533,0.010833
234,4.6778,0.01108
235,4.883,0.01106
236,4.9256,0.011215
237,4.7524,0.01033
238,4.6488,0.009615
239,4.5878,0.009365
240,4.6606,0.008968
241,4.7474,0.008912
242,4.8192,0.008403
