clip,frame,keypoint_index,confident_count,residual_m,residual_px,dlt_conditioning
clip_1,66,17,7,0.273396,11.630249,5.290511e-02
clip_1,67,6,7,0.930644,51.450883,5.587107e-02
clip_1,67,7,7,0.698113,54.787266,3.564795e-02
clip_1,67,13,7,0.291225,19.784188,5.364743e-02
clip_1,67,14,7,0.129521,2.180898,6.898687e-02
clip_1,67,15,7,0.121458,3.045346,6.168753e-02
clip_1,67,16,7,0.125191,5.005191,6.073754e-02
clip_1,67,17,7,0.262860,10.305836,5.303454e-02
clip_1,68,6,7,0.891976,52.999550,5.601648e-02
clip_1,68,7,7,0.695453,54.235229,3.582524e-02
clip_1,68,13,7,0.271759,18.566957,5.407066e-02
clip_1,68,14,7,0.123502,1.904398,6.921548e-02
clip_1,68,15,7,0.109932,3.345818,6.185226e-02
clip_1,68,16,7,0.135821,3.852776,6.107689e-02
clip_1,68,17,7,0.245865,8.836449,5.311912e-02
clip_1,69,6,7,1.460868,69.988552,5.459536e-02
clip_1,69,7,7,1.320468,118.102544,3.533173e-02
clip_1,69,13,7,0.405458,26.687393,5.247732e-02
clip_1,69,14,7,0.134898,2.650817,6.866250e-02
clip_1,69,15,7,0.144770,3.788821,6.002207e-02
clip_1,69,16,7,0.168163,12.175856,5.942820e-02
clip_1,69,17,7,0.368828,15.506381,5.283662e-02
clip_1,70,7,6,2.364328,100.262073,1.718132e-01
clip_1,70,13,6,0.256908,14.021484,4.011411e-02
clip_1,70,14,6,0.046685,0.755674,5.546981e-02
clip_1,70,15,6,0.121747,5.832811,4.780954e-02
clip_1,70,16,6,0.202980,7.949674,5.289098e-02
clip_1,70,17,6,0.731643,21.640518,1.631172e-02
clip_1,71,6,7,1.021617,71.086742,5.555132e-02
clip_1,71,7,7,1.009390,81.466096,3.614865e-02
clip_1,71,13,7,0.199281,13.898797,5.493166e-02
clip_1,71,14,7,0.052988,1.089103,6.957382e-02
clip_1,71,15,7,0.093503,6.031654,6.130618e-02
clip_1,71,16,7,0.208097,4.134080,6.157844e-02
clip_1,71,17,7,0.235968,5.881306,5.301441e-02
clip_1,72,7,7,1.702823,67.637173,1.929562e-01
clip_1,72,12,7,0.128999,8.627304,5.575378e-02
clip_1,72,13,7,0.066304,1.789258,5.135215e-02
clip_1,72,14,7,0.031656,1.157134,5.512152e-02
clip_1,72,15,7,0.062308,3.548988,4.895436e-02
clip_1,72,16,7,0.232124,6.967748,5.488151e-02
clip_1,72,17,7,0.193429,13.233452,2.549485e-02
clip_1,73,7,7,1.886429,74.458016,1.935371e-01
clip_1,73,12,7,0.135625,9.326554,5.584024e-02
clip_1,73,13,7,0.079108,1.857027,5.152953e-02
clip_1,73,14,7,0.037885,1.351368,5.526136e-02
clip_1,73,15,7,0.067454,3.413525,4.911312e-02
clip_1,73,16,7,0.251065,7.252241,5.505045e-02
clip_1,73,17,7,0.211007,13.367791,2.550017e-02
clip_1,74,12,6,0.118769,7.555711,1.701833e-01
clip_1,74,13,6,0.045563,2.398088,1.399971e-01
clip_1,74,14,6,0.023843,0.387676,2.084869e-01
clip_1,74,15,6,0.033082,1.717397,1.957628e-01
clip_1,75,12,6,0.123049,7.521650,1.707369e-01
clip_1,75,13,6,0.048062,2.435296,1.405024e-01
clip_1,75,14,6,0.020517,0.411588,2.090248e-01
clip_1,75,15,6,0.027733,1.543611,1.964293e-01
clip_1,76,6,7,2.060745,101.917570,1.907886e-01
clip_1,76,12,7,0.597676,27.099987,3.609387e-02
clip_1,76,13,7,0.032828,2.358354,3.323167e-02
clip_1,76,14,7,0.107470,4.568907,4.436905e-02
clip_1,76,15,7,0.100681,4.952720,4.144188e-02
clip_1,76,16,7,0.352958,20.779980,3.310341e-02
clip_1,76,17,7,0.333462,13.489357,3.164128e-02
clip_1,77,12,6,0.198993,8.161353,1.697530e-01
clip_1,77,13,6,0.100789,3.043280,1.394055e-01
clip_1,77,14,6,0.065228,1.652315,2.058346e-01
clip_1,77,15,6,0.053615,1.086957,1.925227e-01
clip_1,78,12,6,0.184839,8.045134,1.696629e-01
clip_1,78,13,6,0.087269,2.987523,1.399360e-01
clip_1,78,14,6,0.049344,1.780532,2.064588e-01
clip_1,78,15,6,0.033165,0.688324,1.933384e-01
clip_1,79,12,6,0.153135,7.564351,1.691038e-01
clip_1,79,13,6,0.066135,2.731354,1.400592e-01
clip_1,79,14,6,0.038561,1.625528,2.062065e-01
clip_1,79,15,6,0.025525,0.540031,1.932858e-01
clip_1,80,12,6,0.068504,5.766961,1.702255e-01
clip_1,80,13,6,0.021255,1.636081,1.419720e-01
clip_1,80,14,6,0.040172,0.955373,2.078054e-01
clip_1,80,15,6,0.059674,1.742031,1.955939e-01
clip_1,81,12,6,0.069437,4.333773,1.684026e-01
clip_1,81,13,6,0.046104,1.445866,1.408163e-01
clip_1,81,14,6,0.008487,0.559976,2.065111e-01
clip_1,81,15,6,0.025495,0.958523,1.945834e-01
clip_1,82,12,6,0.099578,5.829278,1.708729e-01
clip_1,82,13,6,0.048865,1.584898,1.435244e-01
clip_1,82,14,6,0.058435,1.722527,2.092479e-01
clip_1,82,15,6,0.095688,2.053338,1.970890e-01
clip_1,83,12,6,0.114293,5.996240,1.705391e-01
clip_1,83,13,6,0.060156,1.701623,1.435105e-01
clip_1,83,14,6,0.056102,1.875201,2.090739e-01
clip_1,83,15,6,0.095289,2.131392,1.969368e-01
clip_1,84,12,6,0.132857,5.404358,1.708245e-01
clip_1,84,13,6,0.066503,1.516450,1.443941e-01
clip_1,84,14,6,0.069899,2.361013,2.102780e-01
clip_1,84,15,6,0.113983,2.313537,1.980747e-01
clip_1,85,12,6,0.146518,5.118931,1.709677e-01
clip_1,85,13,6,0.073308,1.512721,1.450495e-01
clip_1,85,14,6,0.072221,2.556386,2.111673e-01
clip_1,85,15,6,0.117666,2.329824,1.989865e-01
clip_1,86,12,6,0.149383,5.127401,1.707694e-01
clip_1,86,13,6,0.075106,1.532933,1.449298e-01
clip_1,86,14,6,0.072742,2.682261,2.110267e-01
clip_1,86,15,6,0.118020,2.406025,1.988292e-01
clip_1,87,12,6,0.151285,4.640133,1.714983e-01
clip_1,87,13,6,0.070762,1.365418,1.452002e-01
clip_1,87,14,6,0.083067,2.887774,2.109581e-01
clip_1,87,15,6,0.130225,2.471779,1.987841e-01
clip_1,88,12,6,0.171265,7.201108,1.690307e-01
clip_1,88,13,6,0.121057,2.879609,1.415264e-01
clip_1,88,14,6,0.023961,0.877466,2.061946e-01
clip_1,88,15,6,0.022638,1.006471,1.944603e-01
clip_1,89,11,7,0.035579,1.914378,1.911950e-01
clip_1,89,12,7,0.072380,2.969534,1.211807e-01
clip_1,89,13,7,0.098635,2.644092,1.373365e-01
clip_1,89,14,7,0.015566,0.556075,1.448624e-01
clip_1,89,15,7,0.029834,0.891683,1.427001e-01
clip_1,90,11,7,0.051070,3.426645,1.917953e-01
clip_1,90,12,7,0.074669,2.549536,1.213582e-01
clip_1,90,13,7,0.107034,2.787078,1.374820e-01
clip_1,90,14,7,0.013030,0.286988,1.450533e-01
clip_1,90,15,7,0.035018,0.831181,1.429211e-01
clip_1,91,11,7,0.047070,3.579652,1.916988e-01
clip_1,91,12,7,0.070505,2.411404,1.214795e-01
clip_1,91,13,7,0.105350,2.903357,1.374948e-01
clip_1,91,14,7,0.007418,0.123459,1.451707e-01
clip_1,91,15,7,0.041339,0.844351,1.430145e-01
clip_1,92,11,7,0.042261,3.741339,1.932840e-01
clip_1,92,12,7,0.060667,2.029197,1.212187e-01
clip_1,92,13,7,0.098576,2.939397,1.371878e-01
clip_1,92,14,7,0.005747,0.230395,1.447028e-01
clip_1,92,15,7,0.042355,0.820000,1.426144e-01
clip_1,93,11,7,0.036191,3.506843,1.936764e-01
clip_1,93,12,7,0.048596,1.668856,1.204477e-01
clip_1,93,13,7,0.084812,2.817617,1.362789e-01
clip_1,93,14,7,0.005550,0.389208,1.435347e-01
clip_1,93,15,7,0.041096,0.782937,1.415017e-01
clip_1,94,11,7,0.027811,2.770021,1.931970e-01
clip_1,94,12,7,0.045343,1.786132,1.207024e-01
clip_1,94,13,7,0.077153,2.674479,1.365362e-01
clip_1,94,14,7,0.005578,0.117164,1.439819e-01
clip_1,94,15,7,0.045638,0.931936,1.418465e-01
clip_1,95,11,7,0.033731,3.371764,1.946346e-01
clip_1,95,12,7,0.045481,1.594367,1.210270e-01
clip_1,95,13,7,0.081331,2.619778,1.368184e-01
clip_1,95,14,7,0.013310,0.219997,1.443230e-01
clip_1,95,15,7,0.058337,1.053446,1.421374e-01
clip_1,96,11,7,0.030090,2.670166,1.936623e-01
clip_1,96,12,7,0.035244,1.596089,1.202557e-01
clip_1,96,13,7,0.072136,2.885605,1.358475e-01
clip_1,96,14,7,0.011237,0.340712,1.431477e-01
clip_1,96,15,7,0.050288,0.931678,1.410309e-01
clip_1,97,11,7,0.039862,3.420212,1.953706e-01
clip_1,97,12,7,0.031530,1.214620,1.205102e-01
clip_1,97,13,7,0.074346,2.828888,1.360857e-01
clip_1,97,14,7,0.013971,0.373470,1.434223e-01
clip_1,97,15,7,0.056261,0.976445,1.413163e-01
clip_1,98,11,7,0.041977,3.649345,1.975556e-01
clip_1,98,12,7,0.028181,0.943230,1.218314e-01
clip_1,98,13,7,0.074049,2.703392,1.377477e-01
clip_1,98,14,7,0.006573,0.468731,1.455206e-01
clip_1,98,15,7,0.040197,0.733327,1.435243e-01
clip_1,99,11,7,0.041357,3.684646,1.987228e-01
clip_1,99,12,7,0.027915,0.868589,1.222890e-01
clip_1,99,13,7,0.072468,2.546098,1.382831e-01
clip_1,99,14,7,0.005635,0.403061,1.462179e-01
clip_1,99,15,7,0.039275,0.716306,1.442278e-01
clip_1,100,11,7,0.043000,4.263886,1.994881e-01
clip_1,100,12,7,0.038445,1.018912,1.237329e-01
clip_1,100,13,7,0.081784,2.359992,1.398941e-01
clip_1,100,14,7,0.002535,0.149464,1.484052e-01
clip_1,100,15,7,0.041210,0.749043,1.463392e-01
clip_1,101,11,7,0.043366,4.311659,2.003493e-01
clip_1,101,12,7,0.036742,0.941820,1.234823e-01
clip_1,101,13,7,0.078178,2.304909,1.397028e-01
clip_1,101,14,7,0.004999,0.304418,1.480458e-01
clip_1,101,15,7,0.037780,0.680759,1.460476e-01
clip_1,102,11,7,0.044619,4.352579,2.001121e-01
clip_1,102,12,7,0.033217,0.837650,1.233081e-01
clip_1,102,13,7,0.077167,2.311681,1.394226e-01
clip_1,102,14,7,0.004619,0.302257,1.477352e-01
clip_1,102,15,7,0.038890,0.691170,1.457296e-01
clip_1,103,11,7,0.041517,4.103566,2.003585e-01
clip_1,103,12,7,0.032551,0.842167,1.230733e-01
clip_1,103,13,7,0.072495,2.249787,1.392407e-01
clip_1,103,14,7,0.004665,0.312183,1.474228e-01
clip_1,103,15,7,0.040769,0.720251,1.454241e-01
clip_1,104,11,7,0.045621,4.129665,1.999482e-01
clip_1,104,12,7,0.023682,0.596700,1.226862e-01
clip_1,104,13,7,0.069292,2.369605,1.386920e-01
clip_1,104,14,7,0.006402,0.390864,1.468015e-01
clip_1,104,15,7,0.033952,0.681474,1.448251e-01
clip_1,105,11,7,0.047471,4.094329,1.997202e-01
