epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2318.21,0.30589,0.49366,0.09449,0.22358,0.95422,0.99972,1,0.995,0.88598,0.99063,0.99091,0.98992,0.86654,0.48582,0.54383,0.12522,0.30333,0.80147,0.0017228,0.0017228,0.0017228
72,2350.1,0.30449,0.52861,0.09967,0.22042,0.94885,0.99965,1,0.995,0.88885,0.99965,1,0.995,0.85364,0.45716,0.48232,0.13415,0.26852,0.75346,0.00171884,0.00171884,0.00171884
73,2382.22,0.30285,0.46877,0.09847,0.22094,0.9338,0.99971,1,0.995,0.88515,0.99517,0.99545,0.99427,0.88318,0.47534,0.5025,0.11378,0.32727,0.76569,0.00171488,0.00171488,0.00171488
74,2414.08,0.29787,0.46245,0.09415,0.22391,0.93803,0.99971,1,0.995,0.88945,0.99971,1,0.995,0.87648,0.47255,0.49988,0.1383,0.30347,0.77923,0.00171092,0.00171092,0.00171092
75,2446.41,0.31163,0.44637,0.09715,0.22712,0.94542,0.99955,1,0.995,0.90298,0.995,0.99545,0.99368,0.87822,0.46025,0.51224,0.11468,0.30143,0.78259,0.00170696,0.00170696,0.00170696
76,2478.37,0.30758,0.44854,0.09433,0.2251,0.95183,0.99551,1,0.995,0.85095,0.99551,1,0.995,0.87339,0.61766,0.43921,0.11366,0.35689,0.86828,0.001703,0.001703,0.001703
77,2510.43,0.29892,0.43041,0.09203,0.21467,0.94677,0.99952,1,0.995,0.89434,0.99952,1,0.995,0.88285,0.51256,0.49109,0.12647,0.31583,0.81009,0.00169904,0.00169904,0.00169904
78,2542.22,0.30193,0.45633,0.0906,0.22188,0.94878,0.99973,1,0.995,0.90142,0.99519,0.99545,0.995,0.91108,0.45592,0.43847,0.12936,0.31664,0.7555,0.00169508,0.00169508,0.00169508
79,2575.79,0.31047,0.48241,0.09524,0.22202,0.94256,0.99973,1,0.995,0.88585,0.99973,1,0.995,0.82144,0.47863,0.62444,0.13661,0.31842,0.77556,0.00169112,0.00169112,0.00169112
80,2607.75,0.30859,0.50018,0.09436,0.22634,0.95023,0.99974,1,0.995,0.91477,0.99519,0.99545,0.99205,0.869,0.43464,0.48748,0.11296,0.2966,0.76428,0.00168716,0.00168716,0.00168716
81,2640.02,0.30079,0.44991,0.09176,0.22031,0.9397,0.99973,1,0.995,0.86599,0.99973,1,0.995,0.86687,0.55219,0.47894,0.12023,0.30329,0.82939,0.0016832,0.0016832,0.0016832
82,2672.12,0.29114,0.44704,0.08942,0.2159,0.93483,0.99973,1,0.995,0.89749,0.99973,1,0.995,0.87703,0.44399,0.57837,0.11529,0.29186,0.74931,0.00167924,0.00167924,0.00167924
83,2704.51,0.29822,0.45926,0.09033,0.22127,0.93696,0.99972,1,0.995,0.89036,0.99972,1,0.995,0.90221,0.48234,0.42784,0.12188,0.30135,0.77223,0.00167528,0.00167528,0.00167528
84,2736.61,0.29032,0.53558,0.08594,0.21555,0.94144,0.99975,1,0.995,0.89383,0.99975,1,0.995,0.84255,0.46989,0.55178,0.10493,0.27457,0.77272,0.00167132,0.00167132,0.00167132
85,2768.89,0.28632,0.45928,0.08994,0.2086,0.93059,0.99973,1,0.995,0.90756,0.99519,0.99545,0.9945,0.89795,0.42598,0.47277,0.11342,0.27697,0.72691,0.00166736,0.00166736,0.00166736
86,2800.88,0.28792,0.4049,0.0876,0.20652,0.92814,0.99974,1,0.995,0.89824,0.99974,1,0.995,0.87403,0.479,0.47716,0.11826,0.31575,0.77866,0.0016634,0.0016634,0.0016634
87,2833.01,0.28284,0.36523,0.08768,0.20914,0.92384,0.99973,1,0.995,0.90938,0.99973,1,0.995,0.91278,0.46031,0.38079,0.11286,0.28467,0.74458,0.00165944,0.00165944,0.00165944
88,2866.83,0.29325,0.43033,0.08717,0.22097,0.94368,0.99972,1,0.995,0.912,0.99972,1,0.995,0.89479,0.44077,0.45834,0.10446,0.2886,0.73018,0.00165548,0.00165548,0.00165548
89,2898.7,0.28993,0.41017,0.08469,0.20927,0.92485,0.9997,1,0.995,0.8891,0.99515,0.99545,0.99295,0.90649,0.47107,0.41262,0.10371,0.29542,0.7766,0.00165152,0.00165152,0.00165152
90,2930.55,0.30104,0.4034,0.0838,0.21278,0.94082,0.99974,1,0.995,0.90881,0.99974,1,0.995,0.89975,0.44599,0.42203,0.11458,0.28066,0.74813,0.00164756,0.00164756,0.00164756
