method,variant,crop_fraction,policy,held_out,threshold,train_eff_acc,test_eff_acc,test_acc,n_decided,abstain_pct
fashionclip,C_nba,0.667,track_majority,clip_2,0.5049,0.8836,0.9968,0.9968,314,0.0
fashionclip,C_nba,0.667,track_majority,clip_3,0.504,0.9379,0.8997,0.8997,748,0.0
fashionclip,C_nba,0.667,window_weighted,clip_1,0.5093,0.9812,0.8321,0.8382,136,0.7
fashionclip,C_nba,0.667,window_weighted,clip_2,0.5049,0.9593,0.9809,0.9809,314,0.0
fashionclip,C_nba,0.667,window_weighted,clip_3,0.504,0.9357,0.9826,0.9826,748,0.0
kmeans,,0.667,none,clip_1,0.5013,0.7608,0.5109,0.5109,137,0.0
kmeans,,0.667,none,clip_2,0.5014,0.7254,0.7516,0.7516,314,0.0
kmeans,,0.667,none,clip_3,0.5032,0.6785,0.7647,0.7657,747,0.1
kmeans,,0.667,memoise_reset,clip_1,0.5013,0.7825,0.562,0.562,137,0.0
kmeans,,0.667,memoise_reset,clip_2,0.5014,0.7582,0.7548,0.7548,314,0.0
kmeans,,0.667,memoise_reset,clip_3,0.5032,0.6962,0.7941,0.7952,747,0.1
kmeans,,0.667,track_majority,clip_1,0.5013,0.7693,0.7518,0.7518,137,0.0
kmeans,,0.667,track_majority,clip_2,0.5014,0.7898,0.7038,0.7038,314,0.0
kmeans,,0.667,track_majority,clip_3,0.5032,0.7184,0.7968,0.7979,747,0.1
kmeans,,0.667,window_weighted,clip_1,0.5013,0.7684,0.5036,0.5036,137,0.0
kmeans,,0.667,window_weighted,clip_2,0.5014,0.7254,0.7739,0.7739,314,0.0
kmeans,,0.667,window_weighted,clip_3,0.5032,0.6918,0.766,0.7671,747,0.1
embedding,,0.667,none,clip_1,0.501,0.5556,0.5328,0.5328,137,0.0
embedding,,0.667,none,clip_2,0.5012,0.5469,0.5701,0.5701,314,0.0
embedding,,0.667,none,clip_3,0.501,0.5588,0.5495,0.5495,748,0.0
embedding,,0.667,memoise_reset,clip_1,0.501,0.6234,0.5839,0.5839,137,0.0
embedding,,0.667,memoise_reset,clip_2,0.5012,0.6124,0.6369,0.6369,314,0.0
embedding,,0.667,memoise_reset,clip_3,0.501,0.6208,0.6176,0.6176,748,0.0
embedding,,0.667,track_majority,clip_1,0.501,0.5565,0.5693,0.5693,137,0.0
embedding,,0.667,track_majority,clip_2,0.5012,0.5446,0.5955,0.5955,314,0.0
